First Name,Last Name ,Year,Salaries,Rank
Stephen,Jackson,2000,NA,425
Lee,Nailon,2000,NA,426
Terrance,Roberson,2000,NA,427
AJ,Guyton,2000,NA,428
Jake,Voskuhl,2000,NA,429
Khalid,El-Amin,2000,NA,430
Eduardo,Najera,2000,NA,431
Brian,Cardinal,2000,NA,432
Torraye,Braggs,2000,NA,433
Marc,Jackson,2000,NA,434
Chris,Porter,2000,NA,435
Dan,Langhi,2000,NA,436
Zendon,Hamilton,2000,NA,437
Stanislav,Medvedenko,2000,NA,438
Mike,Penberthy,2000,NA,439
Eddie,House,2000,NA,440
Jason,Hart,2000,NA,441
Michael,Redd,2000,NA,442
Lavor,Postell,2000,NA,443
Pete,Mickeal,2000,NA,444
Olumide,Oyedeji,2000,NA,445
Ruben,Wolkowyski,2000,NA,446
Pepe,Sanchez,2000,NA,447
Ademola,Okulaja,2000,NA,448
Daniel,Santiago,2000,NA,449
Paul,McPherson,2000,NA,450
Ruben,Garces,2000,NA,451
Jabari,Smith,2000,NA,452
Ira,Newble,2000,NA,453
Chris,Carrawell,2000,NA,454
Garth,Joseph,2000,NA,455
Mike,Smith,2000,NA,456
Mark,Karcher,2000,NA,457
Anthony,Miller,2000,NA,458
Jamal,Robinson,2000,NA,459
Kwame,Brown,2000,NA,460
Zeljko,Rebraca,2000,NA,461
Tyson,Chandler,2000,NA,462
Pau,Gasol,2000,NA,463
Eddy,Curry,2000,NA,464
Jason,Richardson,2000,NA,465
Shane,Battier,2000,NA,466
Eddie,Griffin,2000,NA,467
DeSagana,Diop,2000,NA,468
Rodney,White,2000,NA,469
Joe,Johnson,2000,NA,470
Kedrick,Brown,2000,NA,471
Vladimir,Radmanovic,2000,NA,472
Richard,Jefferson,2000,NA,473
Troy,Murphy,2000,NA,474
Steven,Hunter,2000,NA,475
Kirk,Haston,2000,NA,476
Michael,Bradley,2000,NA,477
Jason,Collins,2000,NA,478
Zach,Randolph,2000,NA,479
Michael,Jordan,2000,NA,480
Brendan,Haywood,2000,NA,481
Joseph,Forte,2000,NA,482
Jeryl,Sasser,2000,NA,483
Brandon,Armstrong,2000,NA,484
Andrei,Kirilenko,2000,NA,485
Gerald,Wallace,2000,NA,486
Samuel,Dalembert,2000,NA,487
Jamaal,Tinsley,2000,NA,488
Primoz,Brezec,2000,NA,489
Tony,Parker,2000,NA,490
Mitchell,Butler,2000,NA,491
